Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Sandy,5.63,44.88,24.76,46.0,2.09,25.93,Barley,Fruit development,22.2,60.28,67.42,7.15,Mixed,158.91,3567.36,207.74,1361.59
Sandy,5.5,33.29,38.29,33.5,3.4,28.41,Maize,Flowering,29.76,75.44,83.85,9.24,Mixed,233.56,2724.36,263.33,1588.44
Clay,6.55,64.28,25.55,45.13,2.97,24.37,Oats,Germination,33.01,88.7,73.58,5.16,Mixed,200.48,2852.45,160.49,1971.25
Clay,6.19,53.7,34.79,40.01,3.01,30.45,Corn,Fruit development,33.37,84.15,75.62,6.77,Mixed,117.34,3538.79,169.65,1748.57
Sandy,7.49,33.35,24.91,31.64,1.77,33.65,Wheat,Flowering,30.33,99.56,71.33,9.8,Mixed,107.62,4168.42,280.41,1920.16
Loamy,7.04,62.18,37.4,49.39,2.66,28.28,Corn,Flowering,34.53,98.83,59.08,9.16,Inorganic,118.83,4066.7,204.35,1627.97
Clay,7.02,47.76,33.02,44.68,2.28,16.49,Corn,Fruit development,28.97,123.54,52.2,5.67,Mixed,217.66,3270.17,190.37,1716.25
Sandy,7.41,60.6,32.85,35.2,2.97,27.2,Soybean,Germination,23.82,89.57,69.63,6.77,Organic,243.68,2685.34,199.17,1416.11
Sandy,7.28,30.5,21.95,41.64,1.81,28.93,Maize,Germination,29.9,117.72,65.63,5.09,Organic,207.32,4094.19,172.86,1316.42
Clay,6.14,31.15,28.39,48.0,2.06,20.67,Rice,Vegetative,33.64,139.06,54.31,8.65,Organic,110.61,3451.3,211.25,1270.79
Clay,5.83,36.83,30.5,48.62,3.3,21.44,Corn,Fruit development,25.38,95.58,80.08,5.52,Organic,200.62,3073.84,276.07,1506.81
Clay,6.99,38.44,25.88,44.62,1.84,26.91,Wheat,Flowering,23.97,105.34,67.39,6.93,Inorganic,120.0,3544.89,248.13,1399.07
Loamy,6.26,60.56,37.62,44.55,2.76,29.14,Corn,Maturity,34.5,117.72,65.88,9.52,Organic,168.17,3659.86,243.04,1308.98
Loamy,6.45,58.27,36.75,35.55,2.13,32.43,Rice,Maturity,31.5,99.41,64.61,5.68,Inorganic,126.73,3103.15,157.35,1935.47
Sandy,6.76,54.64,29.87,49.8,1.66,30.25,Rice,Germination,20.75,66.32,75.82,6.63,Inorganic,197.05,3739.9,285.73,1307.3
Clay,7.32,65.39,26.8,34.87,1.95,17.68,Wheat,Vegetative,28.42,79.36,51.81,9.08,Inorganic,196.77,2525.84,282.54,1240.03
Loamy,6.34,39.89,36.03,31.79,3.24,21.96,Oats,Maturity,23.52,52.82,57.54,8.16,Organic,236.91,3109.23,279.69,1266.08
Clay,7.07,66.18,23.94,49.55,3.32,17.98,Barley,Germination,24.3,118.36,81.58,8.8,Inorganic,131.31,4400.16,223.2,1204.15
Sandy,6.04,66.38,21.43,33.06,2.34,30.14,Rice,Vegetative,21.31,77.96,51.41,9.79,Organic,240.04,4126.52,185.13,1374.44
Loamy,6.9,47.37,20.91,40.43,2.74,20.33,Oats,Maturity,23.46,132.36,71.38,9.57,Inorganic,217.33,2523.52,209.31,1394.37
Loamy,5.5,33.78,20.77,39.36,2.54,17.47,Rice,Flowering,27.58,115.59,58.45,6.43,Organic,116.4,3654.75,207.68,1728.69
Loamy,7.24,59.06,29.78,46.96,2.06,16.92,Barley,Maturity,21.18,123.61,68.92,6.49,Inorganic,151.48,4098.18,260.92,1300.02
Sandy,5.56,43.48,25.11,37.93,2.19,17.29,Rice,Maturity,33.35,138.25,68.59,5.43,Inorganic,226.79,3063.02,251.94,1365.37
Clay,6.93,61.8,33.81,40.04,2.55,19.94,Corn,Maturity,31.63,92.57,72.97,6.88,Organic,119.45,3639.41,276.56,1923.95
Loamy,5.59,36.55,33.08,30.87,2.89,30.65,Wheat,Maturity,25.72,68.86,56.01,8.87,Mixed,125.57,4039.25,215.27,1227.41
Sandy,6.03,51.58,30.84,34.16,2.2,19.75,Corn,Germination,21.95,143.55,72.43,6.29,Inorganic,216.64,2984.67,287.25,1237.52
Clay,6.49,50.32,27.06,46.66,2.9,20.63,Barley,Fruit development,34.91,149.58,77.36,9.14,Organic,175.96,4050.91,261.91,1526.9
Sandy,6.34,34.01,37.01,39.57,3.42,32.61,Wheat,Flowering,28.45,71.8,56.15,7.87,Inorganic,203.52,3948.6,273.77,1892.11
Clay,5.88,44.53,34.19,34.62,1.55,23.85,Rice,Fruit development,26.34,124.1,77.63,6.8,Inorganic,196.72,2862.95,185.78,1986.98
Sandy,6.17,33.39,25.43,37.38,1.83,25.18,Rice,Germination,22.98,57.23,54.26,7.09,Mixed,126.97,3262.59,293.9,1320.26
Clay,6.96,48.59,30.03,35.7,3.33,15.05,Maize,Maturity,23.05,52.75,59.2,8.85,Inorganic,245.2,4058.74,264.31,1690.05
Loamy,6.84,63.72,23.13,41.12,1.64,16.64,Oats,Vegetative,31.94,117.51,62.66,6.58,Organic,224.5,3770.35,195.57,1203.82
Clay,5.64,40.81,26.58,31.03,3.03,29.81,Rice,Vegetative,27.8,75.52,60.9,8.58,Inorganic,138.32,3522.36,207.04,1961.57
Sandy,6.99,60.59,39.94,34.5,2.75,21.67,Wheat,Fruit development,34.76,136.79,75.68,7.09,Organic,199.41,3279.34,240.89,1679.78
Sandy,5.61,37.34,24.48,37.1,1.6,17.99,Oats,Vegetative,34.3,101.31,59.41,9.08,Mixed,101.44,3167.06,165.1,1393.07
Clay,6.59,56.95,33.97,48.56,1.5,23.58,Soybean,Fruit development,23.1,128.2,76.28,6.06,Organic,101.38,3421.25,267.72,1593.27
Loamy,6.02,66.62,24.77,42.47,2.5,15.9,Wheat,Flowering,34.99,60.35,52.0,6.54,Organic,106.25,3332.81,219.31,1704.08
Loamy,6.68,42.96,38.76,40.09,1.73,29.19,Oats,Vegetative,34.8,137.45,61.15,7.49,Inorganic,174.54,2942.49,264.17,1208.41
Clay,6.02,66.02,26.2,33.82,3.24,16.6,Rice,Maturity,31.99,68.99,81.95,8.74,Organic,192.11,4104.26,195.82,1257.57
Clay,7.47,50.22,26.93,41.16,2.46,16.1,Rice,Germination,25.86,106.82,63.49,5.79,Inorganic,122.87,4452.98,280.1,1976.0
Sandy,6.12,42.67,31.88,48.58,1.97,23.39,Soybean,Flowering,23.36,110.97,66.46,9.52,Organic,175.41,3491.25,247.55,1823.3
Loamy,5.98,65.86,31.76,41.33,1.84,26.74,Rice,Vegetative,21.55,56.59,76.35,5.09,Mixed,193.97,4453.4,216.74,1623.24
Clay,6.06,31.28,31.58,33.3,3.17,30.28,Maize,Vegetative,20.78,147.76,51.88,5.13,Organic,199.44,3230.89,213.33,1382.24
Loamy,7.29,31.12,31.47,49.94,2.94,16.42,Soybean,Fruit development,32.31,80.22,74.52,7.24,Organic,225.81,3181.44,173.88,1265.44
Clay,6.77,53.99,26.24,39.98,2.94,21.7,Corn,Flowering,34.18,121.41,52.25,9.14,Mixed,169.26,4304.84,168.24,1830.31
Clay,6.96,61.87,28.69,36.39,1.67,20.37,Barley,Germination,31.59,113.16,69.34,5.66,Inorganic,245.68,4426.25,150.99,1908.94
Loamy,7.34,60.06,31.87,40.07,2.75,29.88,Maize,Germination,31.39,53.31,71.4,7.43,Mixed,241.52,3044.06,223.21,1403.52
Clay,7.32,33.18,33.43,35.27,3.24,22.39,Wheat,Fruit development,26.23,136.24,55.06,7.14,Inorganic,247.73,4354.48,293.8,1329.1
Clay,6.98,68.01,25.06,30.61,3.03,27.56,Oats,Fruit development,29.62,80.44,79.78,8.72,Organic,243.09,2761.54,157.82,1970.69
Sandy,5.9,58.12,34.03,47.79,1.74,24.79,Oats,Fruit development,30.07,74.91,69.91,6.07,Organic,192.58,3843.49,299.28,1555.14
Clay,7.19,67.96,38.47,38.58,3.4,26.39,Barley,Vegetative,23.86,55.86,55.42,7.97,Inorganic,173.91,4268.44,292.79,1812.97
Clay,5.91,43.16,35.16,45.06,1.64,22.31,Barley,Flowering,31.08,75.03,80.13,9.6,Inorganic,163.64,3317.07,295.36,1546.37
Clay,6.99,57.76,21.68,49.43,2.61,19.79,Maize,Germination,22.19,112.01,78.87,5.28,Mixed,163.12,2803.45,217.92,1413.68
Sandy,6.87,64.4,29.38,42.65,3.39,16.19,Maize,Maturity,24.4,70.09,73.47,9.42,Organic,176.14,4293.86,220.98,1583.87
Loamy,7.02,45.22,28.71,43.83,3.14,18.47,Oats,Germination,28.85,96.65,64.19,6.04,Organic,191.98,4046.68,259.49,1559.47
Sandy,6.57,68.59,26.73,48.86,2.86,18.45,Rice,Flowering,28.09,129.97,67.3,5.41,Inorganic,149.64,2623.86,209.17,1617.72
Sandy,6.78,40.6,29.83,40.33,3.21,33.7,Oats,Fruit development,30.57,145.52,74.62,6.6,Mixed,174.28,3364.39,156.1,1919.49
Loamy,7.41,42.62,28.79,36.4,2.85,33.75,Corn,Vegetative,28.74,120.05,60.51,7.55,Inorganic,148.38,3950.0,224.03,1285.44
Sandy,5.7,66.81,20.12,48.43,1.61,20.12,Soybean,Germination,20.74,69.57,70.84,6.79,Inorganic,151.01,3468.0,246.52,1615.52
Loamy,6.12,68.79,24.73,31.38,2.2,17.11,Barley,Maturity,34.67,88.31,71.77,5.66,Organic,167.33,4333.18,226.64,1249.01
Sandy,6.72,41.41,24.28,34.29,2.35,20.63,Maize,Vegetative,31.45,105.4,57.77,7.38,Inorganic,153.35,2576.34,204.18,1685.87
Loamy,7.43,35.46,26.99,36.83,2.59,30.93,Barley,Germination,33.21,137.14,54.5,5.01,Organic,204.56,3929.38,291.69,1673.54
Clay,5.69,60.36,23.49,45.64,1.96,32.42,Rice,Flowering,32.06,104.77,55.77,5.05,Inorganic,170.21,4371.41,295.17,1944.36
Sandy,5.55,67.19,21.36,48.08,3.26,25.02,Maize,Germination,23.19,99.13,50.74,9.16,Inorganic,204.22,2994.93,179.2,1875.83
Sandy,5.61,54.03,23.93,39.04,1.96,25.8,Corn,Maturity,33.99,75.97,76.29,7.84,Inorganic,211.67,3992.68,290.87,1371.44
Sandy,5.6,55.38,37.08,35.72,2.82,24.17,Soybean,Vegetative,34.76,99.96,78.33,6.82,Inorganic,118.87,3234.88,160.34,1524.95
Sandy,7.32,60.52,35.94,37.06,3.25,18.66,Rice,Germination,21.18,81.87,77.99,7.01,Organic,172.57,3171.51,292.76,1324.84
Clay,6.94,36.12,28.84,43.13,2.97,16.0,Maize,Maturity,22.38,106.45,82.55,7.28,Mixed,162.45,3544.79,286.36,1755.85
Sandy,6.85,68.94,37.56,33.16,1.77,27.43,Corn,Germination,34.85,130.87,52.97,6.18,Mixed,125.9,3755.3,279.13,1668.91
Clay,6.55,44.57,24.65,40.95,3.4,30.97,Wheat,Germination,24.4,144.57,82.57,8.63,Inorganic,140.53,3865.97,226.59,1893.72
Clay,7.06,55.13,31.68,41.77,1.68,29.99,Wheat,Fruit development,32.3,130.96,67.56,6.54,Inorganic,167.51,3461.37,209.37,1745.83
Clay,5.81,48.74,22.86,44.16,1.9,33.01,Corn,Maturity,21.11,132.83,63.77,7.88,Organic,131.44,4354.08,183.91,1273.7
Clay,6.28,48.73,36.67,42.08,1.78,31.27,Oats,Germination,30.99,85.8,54.97,5.67,Organic,132.92,2941.52,154.1,1259.91
Loamy,6.48,58.11,22.61,31.94,2.83,20.75,Barley,Vegetative,30.52,119.55,66.91,5.14,Organic,240.67,4190.67,245.54,1248.49
Loamy,5.72,69.79,20.64,43.78,3.11,17.34,Soybean,Flowering,34.06,88.81,73.86,5.75,Organic,113.89,4177.02,166.87,1371.87
Sandy,6.34,56.36,25.47,30.43,1.98,23.61,Oats,Fruit development,30.93,52.42,53.11,6.76,Mixed,151.35,2757.75,280.67,1988.66
Loamy,6.13,61.76,38.02,37.81,3.46,21.97,Maize,Fruit development,20.62,138.45,84.22,5.69,Inorganic,122.64,3236.56,269.58,1384.16
Loamy,5.57,31.1,22.59,38.34,1.78,29.57,Oats,Fruit development,26.76,55.23,82.09,8.3,Inorganic,131.64,3615.17,249.19,1487.04
Sandy,5.77,62.42,26.61,32.33,2.13,16.36,Oats,Flowering,25.22,61.55,81.05,5.81,Inorganic,226.26,3973.32,248.28,1644.88
Sandy,7.03,42.0,26.33,30.2,2.48,33.86,Maize,Maturity,28.56,51.84,64.33,9.06,Inorganic,147.5,4295.12,269.08,1476.76
Sandy,5.54,35.07,36.03,31.42,3.12,34.14,Corn,Vegetative,26.42,56.73,79.96,8.98,Mixed,111.99,4438.98,198.41,1319.86
Loamy,7.37,34.53,28.43,38.93,2.25,16.77,Maize,Flowering,24.21,55.9,54.39,6.42,Mixed,166.96,3067.4,187.8,1760.88
Loamy,5.67,57.19,32.23,34.81,1.86,23.68,Oats,Vegetative,29.92,117.73,81.88,7.33,Inorganic,131.27,3888.65,195.25,1857.87
Sandy,7.1,69.9,28.09,31.38,2.43,32.98,Soybean,Vegetative,24.67,135.35,79.91,8.42,Inorganic,199.93,4036.71,282.33,1753.47
Clay,7.3,56.65,31.03,35.13,2.45,18.75,Corn,Fruit development,32.76,129.67,70.55,7.12,Organic,133.56,3325.6,166.93,1691.2
Sandy,7.38,40.49,21.25,40.58,1.53,28.84,Barley,Germination,24.84,112.63,73.18,5.39,Organic,249.11,2982.37,249.36,1346.77
Clay,7.23,38.13,27.48,44.84,1.54,29.22,Wheat,Vegetative,27.73,128.6,62.28,6.39,Inorganic,118.24,3987.46,294.32,1741.7
Clay,6.08,51.04,37.1,38.24,2.06,19.67,Wheat,Vegetative,32.39,95.66,83.21,7.57,Mixed,196.73,3310.85,279.99,1437.29
Sandy,6.17,32.6,33.82,42.26,2.98,15.12,Rice,Vegetative,32.34,140.64,52.34,9.08,Inorganic,156.54,2880.1,185.21,1785.99
Sandy,6.35,45.97,39.64,41.94,2.23,28.29,Barley,Vegetative,28.79,95.99,81.18,5.35,Mixed,179.93,2537.93,253.37,1999.1
Sandy,5.78,56.65,35.76,47.93,1.92,27.35,Barley,Fruit development,25.7,52.82,59.15,5.88,Organic,154.71,3257.21,220.07,1490.18
Loamy,5.54,68.71,29.03,33.59,1.73,27.99,Wheat,Vegetative,28.37,120.25,78.18,9.66,Organic,229.16,2894.36,235.1,1829.9
Clay,7.24,47.03,33.53,39.53,2.06,18.13,Maize,Germination,32.75,133.07,51.73,6.59,Mixed,152.57,3797.84,247.21,1607.27
Loamy,6.61,38.01,35.52,42.64,2.46,27.07,Soybean,Maturity,23.28,72.46,58.55,6.89,Mixed,151.6,4030.38,252.99,1489.87
Loamy,6.72,62.69,25.39,40.39,1.69,25.83,Oats,Maturity,21.84,81.78,56.92,8.33,Mixed,169.4,2890.63,190.69,1567.73
Sandy,7.35,59.77,21.2,39.01,1.53,24.05,Soybean,Vegetative,28.73,119.5,84.24,6.84,Inorganic,160.64,4430.0,262.56,1976.49
Loamy,6.83,64.39,28.12,49.47,1.75,30.54,Rice,Fruit development,28.61,107.38,57.34,6.15,Organic,128.81,2884.49,285.51,1728.25
Sandy,6.88,38.59,22.89,48.84,2.98,22.77,Barley,Germination,24.4,139.0,62.99,9.84,Mixed,180.69,3118.66,201.11,1533.16
Clay,7.07,46.19,25.54,42.23,2.43,22.07,Maize,Germination,26.52,97.77,60.43,7.61,Inorganic,129.31,3292.52,204.83,1934.28
Sandy,5.73,69.26,38.94,38.79,2.39,25.82,Oats,Vegetative,21.33,117.25,84.51,6.86,Mixed,142.67,3934.94,161.78,1542.1
Loamy,6.22,36.32,36.94,45.11,1.54,33.88,Barley,Fruit development,21.96,77.16,71.56,8.81,Organic,215.48,4182.6,261.47,1445.13
Loamy,7.44,56.86,31.85,40.26,2.92,21.89,Oats,Maturity,32.42,142.94,62.59,5.51,Inorganic,130.47,3638.56,201.04,1842.61
Sandy,7.35,39.49,28.03,49.91,1.9,23.91,Corn,Flowering,26.97,86.98,81.78,9.51,Mixed,101.26,2665.08,237.39,1531.64
Sandy,7.27,50.01,25.29,43.72,1.68,20.33,Rice,Vegetative,21.5,103.95,74.75,9.06,Mixed,204.76,4309.42,207.24,1651.32
Loamy,6.4,62.02,31.43,31.36,3.18,28.59,Maize,Vegetative,34.43,111.65,74.62,6.88,Mixed,238.25,3038.03,229.17,1379.65
Clay,7.21,49.54,30.66,38.04,2.47,22.28,Corn,Vegetative,23.15,75.43,67.02,5.93,Inorganic,130.89,3803.31,266.36,1445.36
Clay,5.6,62.22,35.62,44.61,3.0,28.85,Wheat,Fruit development,24.75,81.67,67.42,9.3,Inorganic,217.18,4152.53,179.77,1713.88
Sandy,5.8,47.05,38.56,46.85,3.14,17.91,Wheat,Flowering,34.59,100.24,75.58,9.78,Mixed,225.11,4227.22,152.57,1597.83
Clay,6.33,69.97,26.58,46.27,3.43,20.28,Corn,Fruit development,22.71,77.09,50.35,5.24,Inorganic,214.89,2867.88,239.38,1584.06
Loamy,6.47,47.43,24.13,49.54,2.75,19.13,Oats,Vegetative,34.53,63.02,65.3,9.94,Organic,226.72,2506.36,205.53,1603.52
Sandy,6.03,35.98,28.06,39.78,1.64,30.55,Rice,Flowering,30.83,133.66,84.34,6.93,Organic,203.24,4388.91,236.68,1276.18
Loamy,6.21,46.07,28.75,32.8,2.62,16.79,Corn,Germination,26.4,82.47,72.88,9.03,Organic,106.32,3193.54,283.18,1311.74
Loamy,5.83,59.7,20.8,43.04,2.52,20.04,Barley,Germination,28.92,91.6,63.26,7.29,Inorganic,167.17,3672.03,195.65,1966.63
Clay,6.48,63.92,37.23,31.41,1.62,25.15,Maize,Flowering,27.62,104.72,55.95,7.61,Mixed,128.98,4106.74,295.54,1878.67
Sandy,7.09,48.4,39.91,49.47,2.11,16.76,Barley,Vegetative,32.07,134.24,62.55,7.68,Inorganic,189.02,3106.42,227.85,1941.14
Sandy,6.82,53.78,38.46,45.17,2.32,15.22,Barley,Fruit development,20.94,64.03,66.8,9.82,Organic,204.84,4478.62,259.82,1838.27
Clay,5.72,63.8,37.21,49.64,1.82,28.82,Corn,Vegetative,32.2,112.6,72.07,8.15,Inorganic,246.46,2642.45,276.88,1617.12
Loamy,6.48,62.54,39.85,37.55,1.52,27.27,Maize,Flowering,34.56,85.11,84.41,6.48,Organic,199.55,3254.64,199.16,1662.45
Loamy,6.9,56.31,38.16,30.32,3.01,15.17,Maize,Vegetative,26.44,136.95,67.37,8.13,Organic,169.68,2962.03,152.26,1444.15
Loamy,6.56,62.6,33.77,40.43,3.2,15.97,Wheat,Vegetative,22.87,116.12,62.73,5.45,Inorganic,232.6,2795.45,193.05,1866.87
Loamy,6.28,53.04,23.34,32.42,1.96,19.39,Maize,Germination,21.63,64.52,58.88,6.66,Inorganic,121.72,3197.73,211.52,1315.0
Sandy,6.74,30.19,23.13,43.59,1.51,33.12,Soybean,Maturity,25.2,79.69,76.81,5.87,Organic,131.82,3280.65,271.62,1569.72
Sandy,7.44,31.65,20.98,39.95,3.28,28.05,Barley,Fruit development,21.96,53.62,66.23,8.03,Organic,139.68,4197.52,221.85,1542.74
Clay,5.69,69.19,28.24,45.07,1.77,31.1,Wheat,Vegetative,23.45,127.06,75.38,7.66,Mixed,137.32,3873.65,214.29,1564.12
Clay,6.28,35.8,36.18,35.82,2.31,30.19,Barley,Germination,29.82,91.28,59.93,8.62,Inorganic,158.37,4001.97,272.65,1563.25
Sandy,6.31,46.18,29.81,46.58,2.23,34.66,Wheat,Maturity,26.24,54.87,63.0,6.69,Mixed,208.76,3797.96,273.86,1850.94
Sandy,6.65,67.35,27.33,43.02,1.83,34.0,Corn,Germination,33.52,51.35,83.45,9.93,Organic,244.58,3857.86,271.03,1379.95
Loamy,5.8,37.8,22.18,49.75,2.7,16.35,Oats,Vegetative,26.96,145.55,58.17,6.6,Inorganic,142.43,2984.87,250.82,1978.17
Loamy,5.85,63.75,21.04,33.57,3.34,15.45,Maize,Fruit development,22.31,135.23,61.15,5.26,Organic,119.69,3959.53,154.43,1611.17
Clay,6.07,62.73,27.98,31.02,2.53,24.94,Barley,Maturity,22.08,83.44,67.81,6.35,Inorganic,245.22,3673.43,202.99,1769.13
Sandy,7.41,69.45,22.0,47.02,3.45,20.43,Corn,Vegetative,30.4,101.66,68.4,8.12,Organic,199.17,4044.57,232.17,1709.45
Clay,6.97,41.27,22.07,36.77,1.88,25.09,Maize,Flowering,29.51,107.59,52.33,8.8,Organic,132.3,3251.38,194.25,1863.35
Sandy,6.82,42.61,27.91,38.62,3.2,16.81,Wheat,Vegetative,30.62,101.53,84.0,6.21,Mixed,213.5,3159.2,213.27,1228.42
Loamy,7.13,66.12,30.06,48.51,2.01,33.18,Soybean,Germination,25.08,80.8,60.59,8.9,Mixed,167.39,2813.35,166.21,1230.79
Clay,5.76,39.36,23.73,38.81,2.0,30.48,Barley,Vegetative,33.73,89.06,51.88,6.68,Organic,189.5,3630.9,154.38,1789.53
Clay,7.22,51.92,33.69,35.96,1.74,26.04,Oats,Flowering,21.71,68.12,58.92,5.82,Mixed,230.16,3150.22,234.71,1596.4
Sandy,6.69,58.29,28.37,31.19,3.23,24.3,Wheat,Flowering,20.49,53.32,63.99,5.7,Inorganic,132.72,3933.69,259.05,1975.8
Loamy,6.17,40.88,21.84,38.86,2.95,24.37,Rice,Vegetative,31.13,65.47,58.1,9.09,Inorganic,164.63,4143.72,230.85,1576.68
Clay,7.13,67.54,32.74,43.1,2.18,27.33,Corn,Flowering,30.16,51.31,55.42,6.18,Mixed,105.97,4077.79,202.05,1361.11
Loamy,7.11,56.63,27.14,35.38,2.2,25.91,Soybean,Germination,27.4,93.31,67.75,6.1,Organic,209.36,3728.39,292.63,1893.14
Clay,7.19,31.89,21.05,44.36,3.19,24.64,Corn,Flowering,20.66,116.09,77.87,9.41,Organic,116.98,2787.2,183.2,1579.15
Loamy,5.73,35.43,38.96,39.57,3.36,28.59,Oats,Flowering,21.71,68.09,74.67,6.82,Organic,216.73,3399.26,227.82,1240.19
Sandy,7.44,37.63,31.42,47.16,2.7,30.3,Maize,Fruit development,22.93,103.39,64.89,9.95,Inorganic,181.95,4160.02,189.46,1803.65
Clay,7.42,39.8,29.55,33.23,2.31,27.86,Corn,Germination,29.58,82.5,54.34,6.35,Organic,148.5,3780.52,291.99,1502.16
Clay,6.21,59.23,37.18,45.14,1.61,22.83,Wheat,Flowering,29.95,62.0,83.42,8.3,Organic,120.79,3772.33,152.03,1883.42
Loamy,5.63,33.56,38.73,48.65,1.75,23.29,Wheat,Vegetative,30.15,62.76,61.79,5.97,Organic,138.94,3987.02,281.96,1288.99
Loamy,5.83,44.02,24.41,44.83,1.78,16.97,Oats,Flowering,32.05,111.81,53.61,5.96,Organic,176.8,2757.81,233.65,1247.83
Clay,7.49,66.46,36.2,38.12,2.05,23.29,Corn,Maturity,20.37,61.77,61.78,9.04,Mixed,103.11,3842.79,290.24,1768.48
Sandy,6.63,52.27,36.62,34.61,2.01,30.72,Maize,Maturity,29.65,105.33,74.4,9.63,Mixed,126.0,3039.96,266.97,1485.67
Loamy,6.21,40.62,21.09,31.97,2.59,16.33,Maize,Germination,23.77,69.06,58.79,9.47,Inorganic,192.19,3683.57,249.78,1782.83
Loamy,6.08,68.28,34.24,42.85,3.39,18.51,Soybean,Maturity,28.57,136.61,56.4,9.17,Inorganic,188.68,3699.13,262.57,1843.33
Loamy,6.01,39.77,21.26,32.86,3.22,31.85,Wheat,Maturity,31.07,55.0,59.23,7.92,Inorganic,166.98,2862.25,274.47,1524.38
Clay,6.83,66.2,31.89,46.77,2.52,26.36,Corn,Flowering,30.8,88.71,69.31,5.57,Inorganic,100.97,3844.31,194.98,1515.75
Clay,6.34,59.03,33.38,49.21,1.53,28.42,Soybean,Germination,24.32,126.15,80.61,6.69,Inorganic,178.9,3919.06,257.13,1791.15
Clay,7.43,59.62,27.34,32.72,1.64,21.43,Rice,Fruit development,25.33,124.92,54.62,6.41,Inorganic,236.13,3331.34,169.69,1711.99
Clay,6.87,60.6,37.62,37.52,3.22,24.78,Soybean,Flowering,33.76,64.48,55.03,6.25,Organic,158.87,3654.4,271.77,1482.16
Sandy,7.08,50.26,36.01,48.75,2.07,30.23,Oats,Fruit development,32.73,69.67,65.0,9.87,Mixed,102.25,3235.6,291.75,1205.07
Sandy,6.09,62.58,38.52,39.41,2.14,32.52,Barley,Vegetative,23.86,104.63,54.39,5.75,Organic,193.48,4205.52,241.74,1365.08
Clay,5.66,63.45,26.3,40.71,1.78,34.48,Oats,Maturity,28.81,118.43,84.27,7.35,Inorganic,195.84,3793.96,280.96,1677.39
Sandy,6.48,44.42,20.43,44.95,1.95,32.02,Rice,Flowering,21.61,125.23,80.75,9.63,Inorganic,179.54,3586.59,298.79,1472.42
Loamy,6.13,46.01,36.23,34.21,1.99,16.35,Oats,Germination,29.81,112.05,52.27,5.3,Inorganic,171.21,4386.64,174.22,1504.36
Loamy,5.9,65.55,24.46,49.58,2.32,21.87,Oats,Maturity,29.32,128.31,81.74,8.73,Mixed,228.33,4027.82,188.93,1851.73
Loamy,7.41,50.99,29.34,45.62,2.75,29.98,Rice,Vegetative,23.96,93.99,59.96,8.05,Organic,214.27,3108.23,222.87,1452.55
Clay,6.39,64.68,36.35,33.23,2.21,23.36,Soybean,Maturity,26.33,106.06,61.3,6.8,Mixed,204.01,2797.93,273.0,1893.78
Loamy,5.85,55.07,24.32,32.22,2.4,23.73,Wheat,Maturity,31.73,93.32,61.85,9.69,Mixed,170.58,2566.33,273.19,1909.4
Sandy,5.9,53.74,26.24,48.7,1.86,30.89,Soybean,Fruit development,23.83,126.09,52.45,6.68,Inorganic,155.2,3617.51,268.91,1306.53
Clay,6.06,31.24,28.78,43.7,1.61,31.67,Soybean,Vegetative,31.53,67.48,77.25,5.94,Inorganic,166.47,2972.88,290.05,1753.28
Sandy,7.5,41.12,25.44,30.77,2.2,30.83,Barley,Germination,24.75,75.24,56.39,8.62,Inorganic,234.27,4211.56,285.87,1800.79
Loamy,6.04,50.08,29.23,32.84,1.62,22.09,Wheat,Maturity,32.59,133.68,57.28,6.66,Mixed,230.39,2511.82,219.51,1508.19
Loamy,6.16,53.49,20.19,30.96,2.1,19.56,Wheat,Maturity,20.46,121.44,76.9,6.43,Organic,140.93,2817.91,278.72,1975.27
Loamy,6.82,55.22,24.24,49.48,3.18,22.17,Barley,Germination,23.87,123.52,52.11,9.66,Inorganic,182.77,3239.15,199.44,1892.65
Clay,6.09,58.65,36.65,39.96,2.23,29.03,Wheat,Germination,22.66,59.91,61.76,6.54,Mixed,230.12,3872.67,274.05,1515.77
Sandy,5.93,56.25,28.27,39.24,1.89,22.29,Oats,Flowering,33.36,98.44,69.64,7.87,Inorganic,191.55,3591.07,289.96,1774.0
Clay,5.82,63.94,32.73,49.12,3.3,16.11,Wheat,Flowering,26.43,106.43,54.05,8.27,Organic,105.18,3164.43,227.14,1991.6
Clay,6.13,41.82,24.65,40.09,2.78,31.02,Barley,Maturity,28.18,127.99,64.89,7.43,Organic,199.66,2976.11,160.91,1947.02
Loamy,5.71,55.66,33.0,40.36,3.48,16.27,Wheat,Flowering,23.63,92.22,62.38,6.56,Organic,102.95,2959.29,222.46,1391.82
Clay,5.54,32.05,40.0,49.68,2.1,34.92,Oats,Maturity,21.93,104.07,61.26,7.71,Mixed,216.6,4152.19,189.79,1969.11
Clay,7.11,49.21,31.91,32.23,1.9,32.23,Barley,Germination,28.97,73.83,59.47,7.0,Organic,155.97,3112.34,233.61,1693.61
Loamy,5.78,40.72,32.57,49.72,2.1,34.13,Wheat,Flowering,24.25,133.21,61.87,5.18,Inorganic,127.71,4311.55,236.42,1276.41
